Dates,Open,High,Low,Close,,
29-11-2022,16217.63965,16522.25781,16139.39648,16444.98242,,
30-11-2022,16445.47656,17190.9375,16445.47656,17168.56641,,
01-12-2022,17168.00195,17197.49805,16888.38867,16967.13281,,
02-12-2022,16968.68359,17088.66016,16877.88086,17088.66016,,
03-12-2022,17090.09766,17116.04102,16888.14063,16908.23633,,
04-12-2022,16908.16992,17157.76758,16903.43945,17130.48633,,
05-12-2022,17128.89453,17378.15234,16922.43164,16974.82617,,
06-12-2022,16975.23828,17091.86328,16939.92188,17089.50391,,
07-12-2022,17089.50586,17109.37695,16750.55859,16848.12695,,
08-12-2022,16847.34961,17267.91602,16788.7832,17233.47461,,
09-12-2022,17232.14844,17280.54688,17100.83594,17133.15234,,
10-12-2022,17134.2207,17216.82617,17120.68359,17128.72461,,
11-12-2022,17129.71094,17245.63477,17091.82031,17104.19336,,
12-12-2022,17102.5,17212.56445,16899.39453,17206.4375,,
13-12-2022,17206.44141,17930.08594,17111.76367,17781.31836,,
14-12-2022,17782.06641,18318.53125,17739.51367,17815.65039,,
15-12-2022,17813.64453,17846.74414,17322.58984,17364.86523,,
16-12-2022,17364.54688,17505.52539,16584.70117,16647.48438,,
17-12-2022,16646.98242,16800.58984,16614.0293,16795.0918,,
18-12-2022,16795.60938,16815.38672,16697.82031,16757.97656,,
19-12-2022,16759.04102,16807.52734,16398.13672,16439.67969,,
20-12-2022,16441.78711,17012.98438,16427.86719,16906.30469,,
21-12-2022,16904.52734,16916.80078,16755.91211,16817.53516,,
22-12-2022,16818.38086,16866.67383,16592.4082,16830.3418,,
23-12-2022,16829.64453,16905.21875,16794.45898,16796.95313,,
24-12-2022,16796.97656,16864.70313,16793.52734,16847.75586,,
25-12-2022,16847.50586,16860.55469,16755.25391,16841.98633,,
26-12-2022,16842.25,16920.12305,16812.36914,16919.80469,,
27-12-2022,16919.29102,16959.8457,16642.07227,16717.17383,,
28-12-2022,16716.40039,16768.16992,16497.55664,16552.57227,,
29-12-2022,16552.32227,16651.75586,16508.68359,16642.3418,,
30-12-2022,16641.33008,16643.42773,16408.47461,16602.58594,,
31-12-2022,16603.67383,16628.98633,16517.51953,16547.49609,,
01-01-2023,16547.91406,16630.43945,16521.23438,16625.08008,,
02-01-2023,16625.50977,16759.34375,16572.22852,16688.4707,,
03-01-2023,16688.84766,16760.44727,16622.37109,16679.85742,,
04-01-2023,16680.20508,16964.58594,16667.76367,16863.23828,,
05-01-2023,16863.47266,16884.02148,16790.2832,16836.73633,,
06-01-2023,16836.47266,16991.99414,16716.42188,16951.96875,,
07-01-2023,16952.11719,16975.01758,16914.19141,16955.07813,,
08-01-2023,16954.14648,17091.14453,16924.05078,17091.14453,,
09-01-2023,17093.99219,17389.95703,17093.99219,17196.55469,,
10-01-2023,17192.94922,17484.7207,17162.99023,17446.29297,,
11-01-2023,17446.35938,17934.89648,17337.99414,17934.89648,,
12-01-2023,18117.59375,19030.08789,17995.20313,18869.58789,,
13-01-2023,18868.90625,19964.32227,18753.16406,19909.57422,,
14-01-2023,19910.53711,21075.14258,19907.82813,20976.29883,,
15-01-2023,20977.48438,20993.74805,20606.98633,20880.79883,,
16-01-2023,20882.22461,21360.875,20715.74609,21169.63281,,
17-01-2023,21175.83398,21438.66016,20978.5332,21161.51953,,
18-01-2023,21161.05078,21564.50195,20541.54492,20688.78125,,
19-01-2023,20686.74609,21163.01172,20685.38086,21086.79297,,
20-01-2023,21085.37305,22692.35742,20919.12695,22676.55273,,
21-01-2023,22677.42773,23282.34766,22511.83398,22777.625,,
22-01-2023,22777.98633,23056.73047,22387.90039,22720.41602,,
23-01-2023,22721.08789,23126.48633,22654.30469,22934.43164,,
24-01-2023,22929.62695,23134.01172,22549.74414,22636.46875,,
25-01-2023,22639.26758,23722.09961,22406.07617,23117.85938,,
26-01-2023,23108.95508,23237.07813,22911.37305,23032.77734,,
27-01-2023,23030.7168,23417.7207,22654.59375,23078.72852,,
28-01-2023,23079.96484,23165.89648,22908.8457,23031.08984,,
29-01-2023,23031.44922,23919.89063,22985.07031,23774.56641,,
30-01-2023,23774.64844,23789.34766,22657.58203,22840.13867,,
31-01-2023,22840.79688,23225.02148,22765.56836,23139.2832,,
01-02-2023,23137.83594,23764.53906,22877.75,23723.76953,,
02-02-2023,23720.82422,24167.21094,23468.5957,23471.87109,,
03-02-2023,23469.41211,23678.10352,23279.95508,23449.32227,,
04-02-2023,23446.32031,23556.94922,23291.79492,23331.84766,,
05-02-2023,23332.24805,23423.43555,22841.75977,22955.66602,,
06-02-2023,22954.02148,23119.2793,22692.02539,22760.10938,,
07-02-2023,22757.26758,23310.97461,22756.25781,23264.29102,,
08-02-2023,23263.41602,23367.95898,22731.09766,22939.39844,,
09-02-2023,22946.56641,22996.4375,21773.97461,21819.03906,,
10-02-2023,21819.00586,21941.18555,21539.39258,21651.18359,,
11-02-2023,21651.8418,21891.41016,21618.44922,21870.875,,
12-02-2023,21870.90234,22060.99414,21682.82813,21788.20313,,
13-02-2023,21787,21898.41406,21460.08789,21808.10156,,
14-02-2023,21801.82227,22293.14063,21632.39453,22220.80469,,
15-02-2023,22220.58594,24307.8418,22082.76953,24307.8418,,
16-02-2023,24307.34961,25134.11719,23602.52344,23623.47461,,
17-02-2023,23621.2832,24924.04102,23460.75586,24565.60156,,
18-02-2023,24565.29688,24798.83594,24468.37305,24641.27734,,
19-02-2023,24640.02734,25093.05469,24327.64258,24327.64258,,
20-02-2023,24336.62305,25020.45898,23927.91016,24829.14844,,
21-02-2023,24833.04883,25126.85156,24200.36328,24436.35352,,
22-02-2023,24437.41797,24472.33984,23644.31836,24188.84375,,
23-02-2023,24190.71875,24572.08984,23693.91992,23947.49219,,
24-02-2023,23946.00781,24103.70508,23007.07227,23198.12695,,
25-02-2023,23200.125,23210.21094,22861.55859,23175.375,,
26-02-2023,23174.15039,23654.36719,23084.2207,23561.21289,,
27-02-2023,23561.45117,23857.89063,23205.87891,23522.87109,,
28-02-2023,23521.83789,23585.38477,23077.65039,23147.35352,,
01-03-2023,23150.92969,23880.63281,23088.62695,23646.55078,,
